Year,Country,Origin,Refugees,Asylum-seekers (pending cases),Returned refugees,Internally displaced persons (IDPs),Returned IDPs,Stateless persons,Others of concern,Total Population,Indicator,2016,2017
2010,Aruba,Colombia,,1,,,,,,1,Colombia,,[nan]
2010,Afghanistan,Afghanistan,,,,351907.0,3366.0,,838250,1193523,Afghanistan,,[nan]
2010,Afghanistan,Iran (Islamic Rep. of),30,21,,,,,,51,Iran (Islamic Rep. of),,['34']
2010,Afghanistan,Iraq,6,,,,,,,6,Iraq,,[nan]
2010,Afghanistan,Pakistan,6398,9,,,,,,6407,Pakistan,,['75893']
2010,Angola,Burundi,14,13,,,,,,27,Burundi,,['9']
2010,Angola,Burkina Faso,,1,,,,,,1,Burkina Faso,,[]
2010,Angola,Central African Rep.,6,1,,,,,,7,Central African Rep.,,['9']
2010,Angola,C̫te d'Ivoire,211,1213,,,,,,1424,C̫te d'Ivoire,,['510']
2010,Angola,Cameroon,,1,,,,,,1,Cameroon,,[nan]
2010,Angola,Dem. Rep. of the Congo,13648,1508,,,,,,15156,Dem. Rep. of the Congo,,['38516']
2010,Angola,Congo,45,163,,,,,,208,Congo,,[nan]
2010,Angola,Cuba,2,,,,,,,2,Cuba,,[]
2010,Angola,Djibouti,,1,,,,,,1,Djibouti,,[nan]
2010,Angola,Algeria,1,,,,,,,1,Algeria,,[nan]
2010,Angola,Eritrea,6,43,,,,,,49,Eritrea,,['34']
2010,Angola,Western Sahara,5,1,,,,,,6,Western Sahara,,['18']
2010,Angola,Ethiopia,,6,,,,,,6,Ethiopia,,[nan]
2010,Angola,Guinea,36,78,,,,,,114,Guinea,,['107']
2010,Angola,Gambia,,1,,,,,,1,Gambia,,[nan]
2010,Angola,Guinea-Bissau,2,17,,,,,,19,Guinea-Bissau,,[nan]
2010,Angola,Haiti,1,1,,,,,,2,Haiti,,[nan]
2010,Angola,Iraq,2,1,,,,,,3,Iraq,,[nan]
2010,Angola,Rep. of Korea,,1,,,,,,1,Rep. of Korea,,[]
2010,Angola,Liberia,75,158,,,,,,233,Liberia,,['155']
2010,Angola,Mauritania,83,90,,,,,,173,Mauritania,,['306']
2010,Angola,Nigeria,,1,,,,,,1,Nigeria,,[nan]
2010,Angola,Rwanda,444,8,,,,,,452,Rwanda,,['273']
2010,Angola,Sudan,159,212,,,,,,371,Sudan,,['313']
2010,Angola,Senegal,,10,,,,,,10,Senegal,,[nan]
2010,Angola,Sierra Leone,219,462,,,,,,681,Sierra Leone,,['374']
2010,Angola,Somalia,37,53,,,,,,90,Somalia,,['288']
2010,Angola,Chad,148,61,,,,,,209,Chad,,['184']
2010,Angola,Togo,,2,,,,,,2,Togo,,[nan]
2010,Angola,United Rep. of Tanzania,6,,,,,,,6,United Rep. of Tanzania,,[nan]
2010,Angola,Uganda,2,,,,,,,2,Uganda,,['6']
2010,Angola,Various/Unknown,,133,,,,,,133,Various/Unknown,,[]
2010,Angola,South Africa,2,,,,,,,2,South Africa,,[nan]
2010,Angola,Zambia,1,,,,,,,1,Zambia,,['7']
2010,Angola,Zimbabwe,,1,,,,,,1,Zimbabwe,,[nan]
2010,Albania,China,6,,,,,,,6,China,,['12']
2010,Albania,Czech Rep.,2,,,,,,,2,Czech Rep.,,[]
2010,Albania,Egypt,3,,,,,,,3,Egypt,,[nan]
2010,Albania,Iran (Islamic Rep. of),1,,,,,,,1,Iran (Islamic Rep. of),,['12']
2010,Albania,Iraq,5,2,,,,,,7,Iraq,,[nan]
2010,Albania,Libya,1,,,,,,,1,Libya,,[nan]
2010,Albania,The former Yugoslav Republic of Macedonia,,1,,,,,,1,The former Yugoslav Republic of Macedonia,,[nan]
2010,Albania,Montenegro,1,,,,,,,1,Montenegro,,[nan]
2010,Albania,Palestinian,3,,,,,,,3,Palestinian,,[nan]
2010,Albania,Serbia and Kosovo (S/RES/1244 (1999)),49,20,,,,,,69,Serbia and Kosovo (S/RES/1244 (1999)),,['60']
2010,Albania,Tunisia,1,,,,,,,1,Tunisia,,[nan]
2010,Albania,Turkey,3,,,,,,,3,Turkey,,['5']
2010,Albania,Uzbekistan,1,,,,,,,1,Uzbekistan,,[nan]
2010,United Arab Emirates,Afghanistan,4,16,,,,,,20,Afghanistan,,['5']
2010,United Arab Emirates,Eritrea,8,,,,,,,8,Eritrea,,[nan]
2010,United Arab Emirates,Ethiopia,,3,,,,,,3,Ethiopia,,['8']
2010,United Arab Emirates,Iran (Islamic Rep. of),10,14,,,,,,24,Iran (Islamic Rep. of),,[nan]
2010,United Arab Emirates,Iraq,432,14,,,,,,446,Iraq,,['697']
2010,United Arab Emirates,Pakistan,5,,,,,,,5,Pakistan,,[nan]
2010,United Arab Emirates,Palestinian,11,7,,,,,,18,Palestinian,,['5']
2010,United Arab Emirates,Sudan,14,13,,,,,,27,Sudan,,['8']
2010,United Arab Emirates,Somalia,19,,,,,,,19,Somalia,,['17']
2010,United Arab Emirates,Syrian Arab Rep.,34,9,,,,,,43,Syrian Arab Rep.,,['128']
2010,United Arab Emirates,Tunisia,,10,,,,,,10,Tunisia,,[nan]
2010,United Arab Emirates,Uganda,1,,,,,,,1,Uganda,,[nan]
