Country Code,Series Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AFG,Population growth (annual %),1.81607652146107,1.87652834529086,1.93499863593538,1.9925211444355,2.04942311526065,2.1053687507614,2.12958836997067,2.14672719933648,2.20933108041256,2.3309190240079,2.47226594469772,2.58799639693922,2.62865687132542,2.57601667532953,2.41265652382219,2.1576532787654,1.96630203551861,1.75425549834716,1.29402482465926,0.519590420629167,-0.439276603453853,-1.47834496141634,-2.35876483031488,-2.86727333719202,-2.80054825234308,-2.21631540604909,-1.55672226585984,-0.850774195564767,0.330911435004389,2.03039786249816,3.92534213599438,5.9007707466981,7.32544719810673,7.66543343078802,6.89556887495977,5.57258106931349,4.14316285332935,3.08671867160722,2.59048544915264,2.82072418714503,3.49465873827217,4.25150411214678,4.72052846249987,4.81804111999567,4.46891839618783,3.8704701590704,3.22862984319083,2.75522538418067,2.5125738785155,2.5691143189101,2.81261695888044,3.095118614892,3.27270292128737,3.3152241309788,3.18320145523634,2.94323418503806,2.6891634730922,2.49078956147291
AFG,Population density (people per sq. km of land area),,14.0409337377079,14.3152712679594,14.6033667248721,14.905739362191,15.2228869895537,15.5505483564623,15.8879851729314,16.2429096590387,16.6259657506969,17.0421269491162,17.4889333088258,17.9547529332476,18.4232791103759,18.8731749532825,19.2848175719143,19.6677679747572,20.0158349416414,20.2765278926569,20.3821569708666,20.2928192874429,19.9950280305119,19.5289112520295,18.9769154183133,18.4528306221855,18.048356462335,17.7695692797843,17.6190316453757,17.6774316086144,18.0400223631406,18.7622369267531,19.9026697913795,21.4153585761113,23.1214946542904,24.772108874797,26.1917424869038,27.2997028459394,28.1555080721747,28.8944015562295,29.7210366694238,30.7780473608431,32.1147918389854,33.6671307784211,35.3289388230248,36.9435698312042,38.4014918971908,39.6615660325338,40.7695248598474,41.8068667095549,42.8948488190424,44.1184434641424,45.5053135434856,47.0192047299574,48.6041233955212,50.1761786600496,51.6749287749288,53.0834053242655,54.4222053732806
AFG,GDP per capita (current US$),59.7773265083934,59.8781528089471,58.4928738323479,78.7827580362892,82.2084438594401,101.290471274167,137.899361896954,161.322000088481,129.506653844251,129.798541408375,157.187422389233,160.372835554154,136.117014381199,144.110318929266,174.94203831954,187.975604013726,199.026172729051,226.005343759305,249.287386261794,277.900741665078,274.880858701521,266.493041808705,,,,,,,,,,,,,,,,,,,,117.409690794955,187.845094955388,198.728543552291,219.141352785465,250.29412990949,272.563077018147,369.835795969823,373.361116300036,445.893297923744,553.300289383064,603.53702306241,669.009050888028,638.612543202424,629.345250369145,569.5779229167,561.77874627093,585.85006378237
ALB,Population growth (annual %),3.01542305926732,3.12085537059054,3.05673050279088,2.95374876199632,2.88068642624326,2.75402123804227,2.63456387954101,2.63019034549493,2.84251071048949,2.8960833877323,2.55085117829323,2.4229720170788,2.49497310670312,2.36255222384825,2.29721417566909,2.3011538096943,2.20823525497527,2.21325217885547,2.07574189532527,1.98945701957156,2.04796386136191,2.00297430640894,2.11327178253342,2.12088533357751,2.10393661802013,2.05599460887143,1.93322081083734,1.99703995612751,1.88671052887888,2.68786198874035,1.79908559333186,-0.602809679480026,-0.606434726201759,-0.610165792730247,-0.613880506929603,-0.617703658436963,-0.62151139901728,-0.625430096900055,-0.629334392525913,-0.63335227398725,-0.637356833943492,-0.93847042771206,-0.299876697084691,-0.374149169291299,-0.417931377925999,-0.511790116421897,-0.630911244851673,-0.75571875541991,-0.767342959142321,-0.673894046451936,-0.49646196338738,-0.269017331764615,-0.165151040121679,-0.183211384606402,-0.207046999760594,-0.291205786840436,-0.159880412127734,-0.0919722937442495
ALB,Population density (people per sq. km of land area),,60.5766423357664,62.456897810219,64.3292335766423,66.2093065693431,68.0580656934307,69.8749270072993,71.7371532846715,73.8055474452555,75.9742700729927,77.9371897810219,79.8486496350365,81.8659124087591,83.8230656934307,85.7709489051095,87.7675547445255,89.7272262773723,91.7352554744526,93.6593430656934,95.5413138686131,97.5181386861314,99.491094890511,101.61598540146,103.794160583942,106.001058394161,108.20299270073,110.315145985401,112.540328467153,114.683795620438,117.808138686131,119.946788321168,119.225912408759,118.505072992701,117.784197080292,117.063357664234,116.342481751825,115.621642335766,114.900766423358,114.179927007299,113.459051094891,112.738211678832,111.685145985401,111.350729927007,110.934890510949,110.472226277372,109.908284671533,109.21704379562,108.394781021898,107.566204379562,106.843759124088,106.314635036496,106.02901459854,105.854051094891,105.660291970803,105.441751824818,105.135145985401,104.967189781022,104.870693430657
ALB,GDP per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,662.520052309521,662.914792567596,719.157295703914,699.384292086697,676.566732520011,723.409610237851,639.463899289892,348.711317786982,218.492165902633,380.527371084275,619.065163447139,760.559375774093,1046.35851070754,749.58464901464,865.302161769888,1098.42546340677,1175.78898079471,1326.97033929809,1453.64277657175,1890.68155733514,2416.58823505194,2709.14293061386,3005.01290331851,3603.01368536638,4370.53964653148,4114.13654490945,4094.35883191918,4437.17806843608,4247.61430826246,4413.08169670601,4578.66672753259,3952.83078116586,4131.87234065272,4537.8624924478
DZA,Population growth (annual %),2.51143394573168,2.48547320753473,2.47073708465797,2.49203518318717,2.56043510757959,2.6562010655827,2.75967041009218,2.84004362888171,2.87998051259804,2.86909500233464,2.82718577741466,2.77939282315137,2.74916758929794,2.7411219424872,2.76250775197088,2.80381898914748,2.83883013852549,2.86681867439648,2.90887081235547,2.96688901894694,3.02898263435251,3.08541647764118,3.11993175493645,3.12238625109455,3.08712335239905,3.0234226342572,2.94895248703591,2.869734345272,2.77735223013996,2.67294216964106,2.55903939357211,2.44724401533186,2.33288728528788,2.20199598272006,2.05175234616603,1.89311623980877,1.7392560511401,1.60353519752425,1.49080753748709,1.4071313588267,1.34966344449041,1.30145272922752,1.2672311344186,1.26857953923602,1.31092413487785,1.38339843921785,1.45970871133985,1.53403833511292,1.62129805825395,1.72071735074783,1.82135815863613,1.92478657981558,2.00661417637038,2.03609172423878,2.00066645791365,1.91995902410572,1.82546343244561,1.73845575841731
DZA,Population density (people per sq. km of land area),,4.78845675850429,4.90824061400489,5.03209250379974,5.16259961204833,5.30156608194009,5.44990931000025,5.60690797484192,5.7707335813313,5.93869943822583,6.10899342497502,6.28116796963564,6.45624333470488,6.63566468212315,6.82153089757908,7.01550085231805,7.21751282675691,7.42742028936828,7.64664740903709,7.87691393686968,8.11915448369679,8.37356890340675,8.63893665975295,8.91293298176963,9.19237742154895,9.47454592020959,9.7581062584497,10.0421947819661,10.3250111263194,10.6047142005425,10.8795951699178,11.1491300477802,11.4122842963548,11.6663695449545,11.9082070251161,12.1357906404561,12.348709346948,12.5483213952824,12.7367941085089,12.9172844223131,13.0928060997422,13.2643164241269,13.4334755262959,13.6049753541528,13.7845004072653,13.9765201071486,14.1820328835221,14.401267980552,14.6366584933704,14.890693358637,15.1643911594045,15.4591004895581,15.7724382174377,16.0968711950087,16.4221590097996,16.7405040012764,17.0488949050296,17.3478736772806
DZA,GDP per capita (current US$),244.824806483632,213.485905063471,171.209809463866,225.530596175825,236.610189565084,248.37814358709,234.188908344417,252.418252162025,280.268288209403,300.981825658516,334.259527686164,339.384049071749,439.731123857229,551.434441695138,813.049902670207,931.105517329,1031.30313516839,1185.51063534845,1447.6180205344,1771.965548606,2189.77667951046,2223.69734407236,2197.11050017923,2298.88380549028,2452.66463175613,2567.49590456016,2740.65472375228,2790.47391888994,2402.82562714757,2202.55809013399,2394.42038015197,1721.57869577876,1766.05467841426,1797.52356051118,1499.97150457383,1444.90803609489,1596.02986731002,1612.00930288912,1588.48144916691,1581.00456398017,1757.01779715994,1732.85797888376,1774.0336730152,2094.33550572581,2598.90802346666,3100.12237758677,3464.61007870202,3935.18334285931,4905.25486576261,3868.83123040908,4463.39467488951,5432.41331978116,5565.13452104848,5471.12338878709,5466.42577841535,4160.22006671831,3916.88157088626,4123.38993650709
ASM,Population growth (annual %),1.40390259605132,2.33596636188547,3.03366772797615,3.5585977760494,3.66124338243489,3.55743081514788,3.34890516432537,3.21649185781831,3.01585571020017,2.77737427676861,2.51562258316265,2.2606382201728,2.04233449612022,1.8155126000603,1.62049288107571,1.49447412906446,1.29123995425232,1.2063742436591,1.33678416019196,1.81924571359516,2.44515534384487,3.14203253994098,3.6497726858865,4.01193468921548,4.13882058737643,4.03803771745016,3.98664146313856,3.87383795537291,3.69303328788326,3.44969503285443,3.1201589714962,2.80273656702507,2.48665433890389,2.24706153899856,2.11277525173697,2.03501782492202,1.98701257264961,1.85915155539771,1.73223869126688,1.54257480939327,1.31420813363362,1.13056106693841,0.951198727415995,0.655083464091283,0.248350792028606,-0.246659245532166,-0.794787146890805,-1.28183783913039,-1.51917515397331,-1.4180376590663,-1.05486210207446,-0.571394076048246,-0.162822288346136,0.139319888281354,0.234775806748866,0.180222443215116,0.111575018773335,0.0755124091976669
